41,20,11,73,17,45,66,64,6,65,5,38,21,1,80,34,52,50,57,16
1,13,60,5,57,11,14,80,6,21,70,15,52,68,64,33,26,51,79,34
18,77,69,72,24,70,13,55,21,30,10,40,6,33,73,1,68,8,16,78
23,18,59,70,43,10,29,44,35,41,34,7,19,28,9,14,13,40,60,69
26,7,9,41,69,46,19,1,78,38,59,8,43,65,49,56,80,76,61,2
44,12,30,51,3,60,70,10,41,66,15,55,74,78,36,8,80,73,38,32
45,79,47,75,11,51,38,42,9,26,1,15,77,33,60,65,57,56,7,37
76,58,51,31,1,4,65,26,13,24,22,28,80,41,73,72,71,57,64,70
34,25,29,27,24,37,45,42,10,44,71,36,1,3,43,17,75,61,54,56
45,46,39,13,12,8,9,62,74,7,5,79,68,28,72,70,50,30,49,63
79,56,13,7,28,18,29,32,71,54,41,22,73,34,35,55,72,16,39,75
79,31,2,14,3,68,37,5,63,19,51,20,16,49,43,59,53,70,18,52
48,38,78,46,9,59,72,5,18,60,26,42,32,6,67,44,75,58,66,1
17,40,38,55,51,63,72,71,57,23,34,15,9,11,24,29,66,6,32,12
27,14,2,53,12,13,1,24,6,80,17,71,62,51,74,48,16,32,33,10
27,49,16,42,7,50,37,57,66,1,24,77,11,55,18,35,78,47,67,14
51,29,42,55,74,26,40,69,52,75,6,8,80,67,50,11,34,39,37,68
30,23,40,13,37,32,15,72,80,45,19,61,3,29,41,18,54,71,57,33
51,74,37,27,44,36,53,45,22,32,25,72,78,80,46,7,47,71,14,3
44,20,45,56,63,10,21,3,50,47,53,26,40,6,77,64,76,13,74,9
24,61,72,19,5,17,71,52,21,49,59,34,41,70,57,39,3,69,38,1
45,5,13,70,65,46,74,48,53,78,58,11,44,15,17,30,47,24,62,56
1,79,9,44,80,75,48,20,37,29,51,11,38,69,27,67,57,66,74,64
1,35,17,36,72,3,5,24,46,18,47,41,61,28,25,54,78,66,20,58
42,67,9,46,68,16,28,37,59,36,47,53,8,55,27,23,80,40,7,32
11,16,18,46,22,63,67,8,76,56,4,48,23,57,6,61,24,40,47,73
45,63,48,21,15,7,40,8,1,37,62,26,11,30,22,61,23,73,51,65
40,4,73,47,56,38,80,1,49,8,65,55,20,70,34,15,2,77,23,74
1,67,48,27,79,75,62,52,47,23,16,12,11,29,20,18,72,73,51,21
8,66,61,44,75,17,25,48,78,20,5,50,67,71,63,76,33,46,37,2
